id,title,slug,poster_url,director,country,year,film_type,plot,genres,poster_url,combined_features
1,Phin Sữa Đá,phin-sua-da,https://thuytinhgiare.com/wp-content/uploads/2023/07/hinh-anh-ly-cafe-phin_4.jpg,Highlands Coffee,Việt Nam,2025,Cà phê,"Cafe phin truyền thống Việt Nam kết hợp sữa đặc Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Cà phê,http://localhost:5173/images/foods/https://thuytinhgiare.com/wp-content/uploads/2023/07/hinh-anh-ly-cafe-phin_4.jpg,"Phin Sữa Đá Cafe phin truyền thống Việt Nam kết hợp sữa đặc Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Cà phê Highlands Coffee Việt Nam Cà phê"
2,Phin Đen Đá,phin-den-da,https://cafesongao.com/wp-content/uploads/2021/07/ca-phe-den-da.png,Highlands Coffee,Việt Nam,2025,Cà phê,"Cafe đen đậm đà từ phin truyền thống Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Cà phê,http://localhost:5173/images/foods/https://cafesongao.com/wp-content/uploads/2021/07/ca-phe-den-da.png,"Phin Đen Đá Cafe đen đậm đà từ phin truyền thống Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Cà phê Highlands Coffee Việt Nam Cà phê"
3,Bạc Xỉu,bac-xiu,http://thuytinhgiare.com/wp-content/uploads/2023/07/hinh-anh-ly-cafe-bac-xiu_16.jpg,Highlands Coffee,Việt Nam,2025,Cà phê,"Cafe Sài Gòn với sữa tươi và sữa đặc Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Cà phê,http://localhost:5173/images/foods/http://thuytinhgiare.com/wp-content/uploads/2023/07/hinh-anh-ly-cafe-bac-xiu_16.jpg,"Bạc Xỉu Cafe Sài Gòn với sữa tươi và sữa đặc Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Cà phê Highlands Coffee Việt Nam Cà phê"
4,Cafe Muối,cafe-muoi,https://cdn.tuoitre.vn/471584752817336320/2023/8/16/ca-phe-muoi-1692166818071338553380.png,Highlands Coffee,Việt Nam,2025,Cà phê,"Cafe đặc biệt với lớp kem muối béo ngậy Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Cà phê,http://localhost:5173/images/foods/https://cdn.tuoitre.vn/471584752817336320/2023/8/16/ca-phe-muoi-1692166818071338553380.png,"Cafe Muối Cafe đặc biệt với lớp kem muối béo ngậy Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Cà phê Highlands Coffee Việt Nam Cà phê"
5,Cafe Dừa,cafe-dua,https://myvietcoffee.com/wp-content/uploads/2024/10/cach-lam-ca-phe-nuoc-cot-dua.jpg,Highlands Coffee,Việt Nam,2025,Cà phê,"Cafe kết hợp nước cốt dừa thơm ngon Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Cà phê,http://localhost:5173/images/foods/https://myvietcoffee.com/wp-content/uploads/2024/10/cach-lam-ca-phe-nuoc-cot-dua.jpg,"Cafe Dừa Cafe kết hợp nước cốt dừa thơm ngon Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Cà phê Highlands Coffee Việt Nam Cà phê"
6,Freeze Trà Xanh,freeze-tra-xanh,https://bizweb.dktcdn.net/100/487/455/products/freeze-tra-xanh-1698984273180.jpg?v=1724205776357,Highlands Coffee,Việt Nam,2025,Trà,"Đá xay trà xanh mát lạnh Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Trà,http://localhost:5173/images/foods/https://bizweb.dktcdn.net/100/487/455/products/freeze-tra-xanh-1698984273180.jpg?v=1724205776357,"Freeze Trà Xanh Đá xay trà xanh mát lạnh Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Trà Highlands Coffee Việt Nam Trà"
7,Freeze Socola,freeze-socola,https://recipes.net/wp-content/uploads/portal_files/recipes_net_posts/2021-06/freeze-easy-chocolate-shake-recipe.png,Highlands Coffee,Việt Nam,2025,Trà,"Đá xay socola đậm đà Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Trà,http://localhost:5173/images/foods/https://recipes.net/wp-content/uploads/portal_files/recipes_net_posts/2021-06/freeze-easy-chocolate-shake-recipe.png,"Freeze Socola Đá xay socola đậm đà Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Trà Highlands Coffee Việt Nam Trà"
8,Classic Phin Freeze,classic-phin-freeze,https://www.highlandscoffee.com.vn/vnt_upload/product/06_2023/HLC_New_logo_5.1_Products__CLASSIC_FREEZE_PHINDI.jpg,Highlands Coffee,Việt Nam,2025,Trà,"Đá xay cafe phin truyền thống Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Trà,http://localhost:5173/images/foods/https://www.highlandscoffee.com.vn/vnt_upload/product/06_2023/HLC_New_logo_5.1_Products__CLASSIC_FREEZE_PHINDI.jpg,"Classic Phin Freeze Đá xay cafe phin truyền thống Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Trà Highlands Coffee Việt Nam Trà"
9,Trà Đào Cam Sả,tra-dao-cam-sa,https://lofita.vn/public/upload/files/Tra%20dao%20cam%20sa.jpg,Highlands Coffee,Việt Nam,2025,Trà,"Trà hoa quả thanh mát Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Trà,http://localhost:5173/images/foods/https://lofita.vn/public/upload/files/Tra%20dao%20cam%20sa.jpg,"Trà Đào Cam Sả Trà hoa quả thanh mát Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Trà Highlands Coffee Việt Nam Trà"
10,Trà Chanh Leo,tra-chanh-leo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9CORGtdgqKHMRFIGWkREdjFd3nT7TxnP6Sw&s,Highlands Coffee,Việt Nam,2025,Trà,"Trà với chanh leo chua ngọt Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456.",Trà,http://localhost:5173/images/foods/https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9CORGtdgqKHMRFIGWkREdjFd3nT7TxnP6Sw&s,"Trà Chanh Leo Trà với chanh leo chua ngọt Món này được phục vụ tại quán Highlands Coffee địa chỉ 240 Trần Phú, Quận Hải Châu, Đà Nẵng, Việt Nam. Số điện thoại liên hệ: 0905123456. Trà Highlands Coffee Việt Nam Trà"
